Employee ID,Name,Email,Phone Number,Department
2925,Katherine Price,angelica01@example.org,001-478-907-8374x943,HR
1145,Becky House,ashley67@example.org,233.299.6745,IT
7735,Jacqueline Garcia,tararowland@example.net,+1-878-984-0691x19376,Finance
4976,Katherine Wright,wmatthews@example.org,842-677-3004,HR
9009,Kathryn Day,duanesmith@example.org,864-499-6425,HR
5905,Andrea Kennedy,rachel43@example.org,+1-288-702-3403,Marketing
9443,William Fitzpatrick,samuelcarpenter@example.org,001-369-367-6191x5475,Finance
4112,Clayton Perez MD,annejenkins@example.net,001-321-396-6946x38834,Finance
4009,Kimberly Parker,briana95@example.org,001-793-498-3921x14864,Finance
3887,Rebecca Hester,sydney25@example.com,001-315-313-5140,HR
6508,David Reyes,tiffany24@example.org,460-445-0708,Marketing
1492,William Webster,ccooper@example.com,5022118267,IT
7038,Elizabeth Goodman,reillykatelyn@example.net,5703398582,IT
7993,David Kemp,loriforbes@example.net,488.696.5950x3657,IT
8051,Jimmy Alvarez,millerroberto@example.net,496.925.9200x968,Marketing
2887,Fernando Barnes,yward@example.com,(607)821-1634x6680,Finance
5071,Lisa Mack,castroallen@example.net,(304)546-7501x8540,Finance
6062,Brad Miller,vallen@example.com,+1-402-312-7709x194,Finance
1690,Timothy Harris,rhondacase@example.net,001-888-627-5701,IT
6616,Anita Owens,fday@example.org,707-758-2983x74024,IT
1090,Brenda Clark,stephanie69@example.org,001-633-385-5503x3102,Finance
8841,Pamela Torres,ifoley@example.net,6035345199,Finance
1436,Jennifer Obrien,dmartinez@example.com,(591)959-8035x9617,Finance
9203,Eddie Snyder,isaiahnichols@example.org,(578)955-2233x996,Marketing
2265,Carol Yates,debraburton@example.org,913.975.7078x9658,IT
2522,Bradley Petersen,ubradley@example.org,001-954-381-9877,IT
6169,Sarah Allison,basskristen@example.com,+1-549-213-4316x34492,Marketing
1221,William Peterson,torreskurt@example.net,(361)664-9946,Marketing
8816,Miss Michelle Stewart,lnelson@example.com,906-664-2628x986,HR
5250,Trevor Love,burkebradley@example.com,+1-340-757-7734x758,Finance
4992,Kimberly Anderson,harrispatrick@example.com,(208)456-6330x187,Marketing
7877,Tamara Cook,sophiasilva@example.org,(348)952-0623,Finance
